,ECO Code,ECO Name,Number of Master Games,Number of f6 moves,SF Eval,No f6 Eval,No f6 Delta,Colour
1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6,E70,King's Indian Defense: Normal Variation,72863,0,49,56,7,C4
1. d4 d5 2. c4 c6 3. Nf3,D11,Slav Defense: Modern Line,72096,2,29,29,0,C3
1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4,E70,King's Indian Defense: Normal Variation,71180,0,56,58,2,C4
1. d4 Nf6 2. c4 e6 3. Nf3 d5 4. Nc3,D37,Queen's Gambit Declined: Three Knights Variation,71093,0,13,18,5,C3
1. d4 d5 2. c4 e6,D30,Queen's Gambit Declined,70128,0,22,21,-1,C3
1. d4 d5 2. Nf3,D02,Queen's Pawn Game: Zukertort Variation,69426,0,21,18,-3,C3
1. e4 e6 2. d4 d5 3. Nc3,C10,French Defense: Paulsen Variation,67814,0,45,47,2,C2
1. d4 d5 2. Nf3 Nf6,D02,Queen's Pawn Game: Symmetrical Variation,67560,0,25,18,-7,C3
1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3,D15,Slav Defense: Three Knights Variation,60500,0,27,20,-7,C3
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7,C84,Ruy Lopez: Closed,56226,0,35,28,-7,C2
1. d4 Nf6 2. c4 e6 3. Nf3 b6,E12,Queen's Indian Defense,55076,0,36,33,-3,C4
1. d4 Nf6 2. Nf3 g6,A48,East Indian Defense,53258,0,26,50,24,C0
1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. Nf3 O-O 6. Be2,E91,King's Indian Defense: Orthodox Variation,52977,0,53,64,11,C4
1. c4 Nf6,A15,English Opening: Anglo-Indian Defense,52587,0,24,21,-3,C0
1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 e6,D43,Semi-Slav Defense,51831,0,22,23,1,C3
1. e4 d6 2. d4,B00,Pirc Defense,49366,0,55,58,3,C1
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3,C88,Ruy Lopez: Closed,48486,0,31,26,-5,C2
1. d4 d5 2. c4 e6 3. Nc3,D31,Queen's Gambit Declined: Queen's Knight Variation,47653,0,25,20,-5,C3
1. c4 e5,A20,English Opening: King's English Variation,46196,0,19,17,-2,C0
1. e4 c5 2. Nc3,B23,Sicilian Defense: Closed,43438,0,24,25,1,C1
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6,B33,Sicilian Defense: Open,43411,0,26,22,-4,C1
1. e4 d6,B00,Pirc Defense,43309,0,59,53,-6,C1
1. e4 e6 2. d4 d5 3. Nd2,C03,French Defense: Tarrasch Variation,42475,0,22,29,7,C2
1. e4 e5 2. Nf3 Nc6 3. Bc4,C50,Italian Game,42079,0,17,15,-2,C2
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 Nc6,B56,Sicilian Defense: Classical Variation,41655,0,39,40,1,C1
1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. Nf3,E90,"King's Indian Defense: Normal Variation, Rare Defenses",41261,0,53,60,7,C4
1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. Nf3 O-O 6. Be2 e5,E92,King's Indian Defense: Orthodox Variation,41245,0,60,59,-1,C4
1. e4 d6 2. d4 Nf6,B00,Pirc Defense,41055,0,56,52,-4,C1
1. d4 Nf6 2. c4 g6 3. Nc3 d5,D80,GrÃ¼nfeld Defense,40849,0,22,53,31,C3
1. d4 e6,A40,Horwitz Defense,40257,0,47,46,-1,C0
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Be3,B90,"Sicilian Defense: Najdorf Variation, English Attack",40020,0,43,40,-3,C1
1. d4 Nf6 2. c4 c5,A56,Benoni Defense,36891,0,62,61,-1,C0
1. d4 Nf6 2. Nf3 g6 3. c4,E60,"King's Indian Defense: Normal Variation, King's Knight Variation",36784,0,24,55,31,C4
1. e4 c5 2. c3,B22,Sicilian Defense: Alapin Variation,36470,0,14,19,5,C1
1. e4 g6 2. d4 Bg7,B06,Modern Defense,35817,0,59,73,14,C1
1. d4 d5 2. c4 c6 3. Nc3 Nf6 4. e3 e6 5. Nf3,D45,Semi-Slav Defense: Main Line,35447,0,24,22,-2,C3
1. e4 c5 2. Nf3 Nc6 3. Bb5,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,35154,0,33,40,7,C1
1. e4 g6,B06,Modern Defense,34064,0,56,69,13,C1
1. Nf3 d5 2. g3,A07,King's Indian Attack,33828,0,14,19,5,C0
1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3,E15,Queen's Indian Defense: Fianchetto Variation,33817,0,34,34,0,C4
1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3,B45,"Sicilian Defense: Taimanov Variation, Normal Variation",33490,0,45,46,1,C1
1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6,B44,Sicilian Defense: Taimanov Variation,33200,0,45,48,3,C1
1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3,E40,Nimzo-Indian Defense: Normal Line,33187,0,6,12,6,C4
1. d4 d5 2. c4 c6 3. Nc3 Nf6 4. e3 e6 5. Nf3 Nbd7,D45,Semi-Slav Defense: Normal Variation,32964,0,18,20,2,C3
1. Nf3 c5,A04,Zukertort Opening: Sicilian Invitation,32053,0,33,40,7,C0
1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6,B41,Sicilian Defense: Kan Variation,31881,0,43,59,16,C1
1. c4 Nf6 2. Nc3,A16,"English Opening: Anglo-Indian Defense, Queen's Knight Variation",31312,0,14,12,-2,C0
1. e4 e5 2. Nf3 Nf6,C42,Petrov's Defense,31106,0,29,42,13,C2
1. e4 e6 2. d4 d5 3. Nc3 Bb4,C15,French Defense: Winawer Variation,30857,0,59,76,17,C2
1. c4 Nf6 2. Nf3 g6,A15,"English Opening: Anglo-Indian Defense, King's Indian Formation",30523,0,30,56,26,C0
1. d4 d5 2. c4 e6 3. Nc3 Nf6,D35,Queen's Gambit Declined: Normal Defense,30501,0,22,17,-5,C3
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 d6 8. c3 O-O,C90,Ruy Lopez: Closed,30317,0,32,38,6,C2
1. e4 c6 2. d4 d5 3. e5,B12,Caro-Kann Defense: Advance Variation,29876,6,38,50,12,C1
1. c4 c5 2. Nf3,A30,English Opening: Symmetrical Variation,29417,0,22,22,0,C0
1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6,C65,Ruy Lopez: Berlin Defense,29331,0,23,28,5,C2
1. e4 e6 2. d4 d5 3. Nc3 Nf6,C11,French Defense: Classical Variation,29167,0,39,55,16,C2
1. c4 e5 2. Nc3,A21,"English Opening: King's English Variation, Reversed Sicilian",28962,0,6,9,3,C0
1. d4 Nf6 2. c4 e6 3. g3,E00,Catalan Opening,28867,0,14,22,8,C4
1. e4 c6 2. d4 d5 3. Nd2 dxe4 4. Nxe4,B15,Caro-Kann Defense: Main Line,28595,0,32,38,6,C1
1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. Qc2,E32,Nimzo-Indian Defense: Classical Variation,28250,0,8,11,3,C4
1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. Nf3 O-O 6. Be2 e5 7. O-O,E94,King's Indian Defense: Orthodox Variation,28212,0,51,51,0,C4
1. c4 e6,A13,English Opening: Agincourt Defense,28181,0,20,22,2,C0
1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. e3,D11,Slav Defense: Quiet Variation,27813,0,22,21,-1,C3
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 d6 8. c3 O-O 9. h3,C92,Ruy Lopez: Closed,27595,0,39,35,-4,C2
1. d4 f5,A80,Dutch Defense,27573,0,65,55,-10,C0
1. d4 d6,A41,Queen's Pawn Game,27561,0,56,53,-3,C0
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e5,B33,Sicilian Defense: Lasker-Pelikan Variation,26546,0,30,26,-4,C1
1. e4 c5 2. Nf3 d6 3. Bb5+,B51,Sicilian Defense: Moscow Variation,26083,0,8,16,8,C1
1. e4 c5 2. Nc3 Nc6,B23,"Sicilian Defense: Closed, Traditional",25042,0,25,29,4,C1
1. d4 d5 2. c4 c6 3. Nc3,D10,Slav Defense,24617,0,22,26,4,C3
1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3 Qc7,B47,"Sicilian Defense: Taimanov Variation, Bastrikov Variation",24547,0,39,50,11,C1
1. d4 g6,A40,Queen's Pawn Game: Modern Defense,24018,0,55,81,26,C0
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Bg5,B94,Sicilian Defense: Najdorf Variation,23979,0,9,30,21,C1
1. e4 e6 2. d4 d5 3. Nc3 Bb4 4. e5,C16,"French Defense: Winawer Variation, Advance Variation",23895,6,57,66,9,C2
1. e4 d5,B01,Scandinavian Defense,23722,0,70,72,2,C1
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 Nc6 6. Bg5,B60,Sicilian Defense: Richter-Rauzer Variation,23665,0,43,40,-3,C1
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e5 6. Ndb5 d6 7. Bg5 a6 8. Na3 b5,B33,"Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation",23502,0,16,19,3,C1
1. e4 g6 2. d4 Bg7 3. Nc3,B06,Modern Defense: Standard Line,23482,0,52,78,26,C1
1. c4 e5 2. Nc3 Nf6,A22,"English Opening: King's English Variation, Two Knights Variation",23073,0,5,6,1,C0
1. d4 d5 2. c4 dxc4,D20,Queen's Gambit Accepted,22901,0,37,42,5,C3
1. Nf3 Nf6 2. g3 d5,A05,King's Indian Attack,22650,0,17,14,-3,C0
1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5,C50,Italian Game: Giuoco Piano,22563,0,17,13,-4,C2
1. d4 Nf6 2. Bg5,A45,Trompowsky Attack,22521,0,0,0,0,C0
1. d4 Nf6 2. c4 e6 3. Nf3 Bb4+,E11,Bogo-Indian Defense,22123,0,37,33,-4,C4
1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5,D85,GrÃ¼nfeld Defense: Exchange Variation,21635,0,24,51,27,C3
1. e4 e5 2. Nf3 Nc6 3. d4 exd4,C44,Scotch Game,21343,0,5,24,19,C2
1. e4 e5 2. Nf3 Nf6 3. Nxe5,C42,Petrov's Defense,21257,0,31,47,16,C2
1. c4 c5,A30,English Opening: Symmetrical Variation,21212,0,22,25,3,C0
1. e4 e5 2. Nf3 Nc6 3. d4,C44,Scotch Game,21177,0,0,21,21,C2
1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6,C42,Petrov's Defense,20907,0,26,38,12,C2
1. e4 Nf6,B02,Alekhine Defense,20905,0,67,80,13,C1
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O,C88,Ruy Lopez: Closed,20748,0,25,38,13,C2
1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3 Ba6,E15,"Queen's Indian Defense: Fianchetto Variation, Nimzowitsch Variation",20674,0,22,32,10,C4
1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 O-O,E46,Nimzo-Indian Defense: Normal Variation,20300,0,9,13,4,C4
1. d4 d5 2. c4 c6 3. Nc3 Nf6 4. e3 e6 5. Nf3 Nbd7 6. Qc2,D45,Semi-Slav Defense: Stoltz Variation,20086,0,21,23,2,C3
1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nf3,C42,Petrov's Defense,20059,0,27,37,10,C2
1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nf3 Nxe4,C42,Petrov's Defense,20055,0,26,36,10,C2
1. g3,A00,Hungarian Opening,19809,0,16,9,-7,C0
1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. Nf3 O-O 6. Be2 e5 7. O-O Nc6,E97,"King's Indian Defense: Orthodox Variation, Aronin-Taimanov Defense",19704,0,62,59,-3,C4
1. e4 c6 2. d4 d5 3. Nc3,B15,Caro-Kann Defense,19636,0,36,38,2,C1
1. e4 d6 2. d4 Nf6 3. Nc3 g6,B07,Pirc Defense,19456,0,75,68,-7,C1
1. e4 g6 2. d4 Bg7 3. Nc3 d6,B06,Modern Defense: Standard Defense,19435,0,68,84,16,C1
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 Nc6 6. Bg5 e6,B62,Sicilian Defense: Richter-Rauzer Variation,19286,0,41,40,-1,C1
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 g6,B70,Sicilian Defense: Dragon Variation,19282,0,66,65,-1,C1
1. c4 c5 2. Nc3 Nf6 3. Nf3,A34,"English Opening: Symmetrical Variation, Three Knights Variation",18967,0,22,24,2,C0
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Bg5 e6,B95,Sicilian Defense: Najdorf Variation,18956,0,39,33,-6,C1
1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7,D90,GrÃ¼nfeld Defense: Three Knights Variation,18505,0,22,46,24,C3
1. e4 c6 2. d4 d5 3. Nc3 dxe4,B15,Caro-Kann Defense,18319,0,29,38,9,C1
1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 dxc4,D15,Slav Defense: Two Knights Attack,18199,0,32,40,8,C3
1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4,C45,Scotch Game,18017,0,0,22,22,C2
1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6,C55,Italian Game: Two Knights Defense,17961,0,12,15,3,C2
1. e4 c5 2. Nf3 Nc6 3. Bb5 g6,B31,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",17909,0,33,42,9,C1
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 Nc6 6. Bg5 e6 7. Qd2,B63,"Sicilian Defense: Richter-Rauzer Variation, Traditional Variation",17866,0,39,36,-3,C1
1. e4 Nf6 2. e5 Nd5,B02,Alekhine Defense: Normal Variation,17567,0,68,113,45,C1
1. d4 Nf6 2. c4 e6 3. g3 d5,E00,Catalan Opening,17543,0,9,20,11,C4
1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nf6,B40,"Sicilian Defense: French Variation, Normal",17055,0,52,55,3,C1
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Bg5 e6 7. f4,B96,Sicilian Defense: Najdorf Variation,16839,0,39,37,-2,C1
1. Nf3 d5 2. c4,A09,RÃ©ti Opening,16679,0,-13,-14,-1,C0
1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6,A28,"English Opening: King's English Variation, Four Knights Variation",16674,0,4,7,3,C0
1. d4 Nf6 2. c4 e6 3. g3 d5 4. Bg2 Be7 5. Nf3,E06,Catalan Opening: Closed,16674,0,13,17,4,C4
1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 dxc4 5. a4,D16,Slav Defense: Alapin Variation,16613,0,33,33,0,C3
1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O,C65,Ruy Lopez: Berlin Defense,16456,0,24,26,2,C2
1. e4 e6 2. d4 d5 3. Nc3 Bb4 4. e5 c5,C17,"French Defense: Winawer Variation, Advance Variation",16349,0,57,75,18,C2
1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. Be2,E73,"King's Indian Defense: Normal Variation, Standard Development",16237,0,63,52,-11,C4
1. d4 Nf6 2. c4 c5 3. d5 b5,A57,Benko Gambit,16161,0,61,69,8,C0
1. e4 c6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Bf5,B18,Caro-Kann Defense: Classical Variation,16111,0,40,36,-4,C1
1. e4 d5 2. exd5 Qxd5,B01,Scandinavian Defense: Mieses-Kotroc Variation,16098,0,66,71,5,C1
1. e4 c6 2. d4 d5 3. exd5,B13,Caro-Kann Defense: Exchange Variation,15850,0,19,23,4,C1
1. d4 Nf6 2. c4 e6 3. Nc3 d5 4. cxd5,D35,Queen's Gambit Declined: Exchange Variation,15779,0,15,25,10,C3
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Be2,B92,"Sicilian Defense: Najdorf Variation, Opocensky Variation",15579,0,22,20,-2,C1
1. d4 Nf6 2. c4 e6 3. Nf3 d5 4. Nc3 Bb4,D38,Queen's Gambit Declined: Ragozin Defense,15546,0,18,13,-5,C3
1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6 5. Bd3,B42,"Sicilian Defense: Kan Variation, Modern Variation",15539,0,45,59,14,C1
1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6,C47,Four Knights Game,15529,0,2,20,18,C2
1. c4 c6,A11,English Opening: Caro-Kann Defensive System,15347,0,23,31,8,C0
1. c4 e6 2. Nf3 d5 3. g3 Nf6,A13,English Opening: Neo-Catalan,15282,0,14,13,-1,C0
1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. f3,E80,King's Indian Defense: SÃ¤misch Variation,15166,0,28,65,37,C4
1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. d3,C55,"Italian Game: Two Knights Defense, Modern Bishop's Opening",14923,0,14,20,6,C2
1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 d6,B80,Sicilian Defense: Scheveningen Variation,14922,0,68,72,4,C1
1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5,C11,"French Defense: Classical Variation, Steinitz Variation",14894,0,45,65,20,C2
1. e4 e6 2. d4 d5 3. Nd2 c5,C07,"French Defense: Tarrasch Variation, Open System",14891,0,17,28,11,C2
1. c4 g6,A10,English Opening: Great Snake Variation,14842,0,28,49,21,C0
1. e4 Nf6 2. e5 Nd5 3. d4,B03,Alekhine Defense,14829,0,64,113,49,C1
1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Nxe4,C67,"Ruy Lopez: Berlin Defense, Rio Gambit Accepted",14821,0,29,30,1,C2
1. Nf3 Nf6 2. g3 g6,A05,King's Indian Attack: Symmetrical Defense,14580,0,22,25,3,C0
1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6 5. Nc3,B43,"Sicilian Defense: Kan Variation, Knight Variation",14580,0,43,47,4,C1
1. e4 Nf6 2. e5 Nd5 3. d4 d6,B03,Alekhine Defense,14568,0,75,111,36,C1
1. e4 e6 2. d4 d5 3. e5,C02,French Defense: Advance Variation,14500,2,14,42,28,C2
1. d4 Nf6 2. c4 e6 3. Nc3 d5 4. cxd5 exd5 5. Bg5,D35,"Queen's Gambit Declined: Exchange Variation, Positional Variation",14462,0,27,16,-11,C3
1. e4 e6 2. d4 d5 3. Nc3 Bb4 4. e5 c5 5. a3,C17,"French Defense: Winawer Variation, Advance Variation",14385,0,68,79,11,C2
1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. f3 O-O,E81,"King's Indian Defense: SÃ¤misch Variation, Normal Defense",14193,0,29,63,34,C4
1. d4 d5 2. c4 dxc4 3. Nf3 Nf6,D23,Queen's Gambit Accepted,14142,0,21,28,7,C3
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 g6 6. Be3,B72,Sicilian Defense: Dragon Variation,14078,0,60,61,1,C1
1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. Bg5,C11,French Defense: Burn Variation,14054,0,23,35,12,C2
1. e4 e6 2. d4 d5 3. e5 c5 4. c3,C02,French Defense: Advance Variation,13984,0,29,50,21,C2
1. e4 e6 2. d4 d5 3. e5 c5,C02,French Defense: Advance Variation,13879,0,29,42,13,C2
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e5 6. Ndb5 d6 7. Bg5 a6 8. Na3 b5 9. Nd5,B33,"Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation, Chelyabinsk Variation",13719,0,25,23,-2,C1
1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 dxc4 5. a4 Bf5,D17,Slav Defense: Czech Variation,13642,0,38,42,4,C3
1. d4 Nf6 2. c4 e6 3. Nf3 d5 4. g3 Be7 5. Bg2 O-O 6. O-O dxc4,E05,"Catalan Opening: Open Defense, Classical Line",13478,0,13,19,6,C4
1. d4 Nf6 2. c4 e6 3. g3 d5 4. Bg2 dxc4 5. Nf3,E04,Catalan Opening: Open Defense,13437,0,26,35,9,C4
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6,B32,Sicilian Defense: Accelerated Dragon,13323,0,43,53,10,C1
1. e4 e5 2. Nf3 Nc6 3. Nc3,C46,Three Knights Opening,13303,0,5,27,22,C2
1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. f4 c5 6. Nf3,C11,French Defense: Steinitz Variation,13223,1,34,52,18,C2
1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Nf6 5. d3,C54,"Italian Game: Classical Variation, Giuoco Pianissimo",13203,0,16,19,3,C2
1. e4 e6 2. d4 d5 3. Nd2 Nf6,C05,"French Defense: Tarrasch Variation, Closed Variation",13182,0,50,91,41,C2
1. Nf3 g6,A04,Zukertort Opening: Kingside Fianchetto,13151,0,44,53,9,C0
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 g6 6. Be3 Bg7 7. f3,B75,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Early Deviations",13106,0,59,57,-2,C1
1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 O-O 5. Bd3,E47,"Nimzo-Indian Defense: Normal Variation, Bishop Attack",12901,0,8,21,13,C4
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 Nc6 6. Bg5 e6 7. Qd2 a6,B66,"Sicilian Defense: Richter-Rauzer Variation, Neo-Modern Variation, Early Deviations",12862,0,38,43,5,C1
1. e4 e6 2. d4 d5 3. Nc3 Bb4 4. e5 c5 5. a3 Bxc3+ 6. bxc3,C18,"French Defense: Winawer Variation, Advance Variation",12605,0,61,73,12,C2
1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3,D90,GrÃ¼nfeld Defense: Three Knights Variation,12574,0,23,56,33,C3
1. d4 Nf6 2. c4 g6 3. g3,E60,"King's Indian Defense: Fianchetto Variation, Immediate Fianchetto",12570,0,13,22,9,C4
1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3,C53,Italian Game: Classical Variation,12496,0,14,24,10,C2
